360 Capital Partners;Leetchi;Fintech
360 Capital Partners;Withings;Hardware
360 Capital Partners;Aramis Auto;
360 Capital Partners;Teddybear;
Alven;Captain Train;Travel
Alven;Bime;
Alven;Drivy;Platform
Alven;Algolia;Saas
Aster Capital;Solaire direct;Energy
Aster Capital;cpower;
Aster Capital;connectblue;
Aurinvest;Priceminister;Ecommerce
Aurinvest;Empruntis;
Aurinvest;Famoco;
Aurinvest;Azalead;
Banexi;Kelkoo;
Banexi;Linkfluence;
Banexi;Adyoulike;
Banexi;Dolmen;
BPI;Talentsoft;
BPI;Netatmo;Hardware
BPI;Manomano;
BPI;iAdvize;
Breega;FoodCh̩ri;Foodtech
Breega;GoJob;
Breega;Solendro;
Breega;Clic & Walk;
Cap Agro;Naio Technologies;
Cap Agro;Yooji;
Caphorn;Adents;
Caphorn;Vekia;
Caphorn;Deolan;
Caphorn;Critizr;
Cathay Innovation;Drivy;Platform
Cathay Innovation;Trifacta;
Cathay Innovation;Pinduoduo;
Cathay Innovation;Alkemics;
Creadev;Sculpteo;
Creadev;Ysance;
Creadev;Digischool;
Creadev;Yes'n'you;
Daphni;- not yet -;
Elaia Partners;Criteo;Saas
Elaia Partners;Sigfox;Hardware
Elaia Partners;Teads;
Elaia Partners;Mirakl;
Elaia Partners;Shift Technology;
Elaia Partners;Agriconomie;Foodtech
Hi inov;Famoco;
Hi inov;Geolid;
Hi inov;Platform.sh;
Hi inov;Veepki;
Idinvest;Criteo;
Idinvest;Talend;
Idinvest;Frichti;
Idinvest;happn;
Iris Capital;Mopub;
Iris Capital;NetAtmo;
Iris Capital;Shift Technology;
Iris Capital;iAdvize;
ISAI;Blablacar;Platform
ISAI;StickyAds;
ISAI;Evaneos;
ISAI;Hopwork;Platform
Newfund;1001pharmacies;
Newfund;Invoxia;Hardware
Newfund;Aircall;Saas
Newfund;Camping&co;
Omnes;BlaBlaCar;Platform
Omnes;SigFox;Hardware
Omnes;Scality;
Omnes;Poxel;
Otium;La Fourchette;Foodtech
Otium;Balin̩a;
Otium;Shippeo;
Otium;Octoly;
Partech;Sigfox;
Partech;Pricematch;
Partech;Teads;Adtech
Partech;Dayuse;Foodtech
Serena Capital;La Fourchette;
Serena Capital;Dataiku;
Serena Capital;Evaneos;
Serena Capital;Aramis Auto;
Seventure;Prestashop;Ecommerce
Seventure;Talentsoft;
Seventure;Recommerce Solutions;
Seventure;SumUp/Payleven;
Truffle Capital;Actility;
Truffle Capital;CARMAT;
Truffle Capital;Paytop;
Truffle Capital;Credit.fr;
Ventech;Withings;
Ventech;StickyAds;Adtech
Ventech;Unilend;
Ventech;Ogury;
XAnge;A Little Market;
XAnge;Neolane;
XAnge;Believe Digital;
XAnge;La Ruche qui dit Oui;
Axa Strategic Ventures;Evercontact;
Axa Strategic Ventures;Easypropri̩taire;
Axa Strategic Ventures;Policy Genius;
MAIF Avenir;Coolicar;
MAIF Avenir;Guest to guest;
MAIF Avenir;Cozy;
Nokia Growth Partners;Babbel;
Nokia Growth Partners;Deliveroo;
Nokia Growth Partners;Drivy;
Nokia Growth Partners;Verve;
Orange Digital Ventures;Actility;
Orange Digital Ventures;Wynd;Hardware
Orange Digital Ventures;Chain;
Orange Digital Ventures;Afrostream;
Orange Digital Ventures;Afrimarket;
Schibsted Growth;Pr̻t d'union;
Schibsted Growth;Kudoz;Platform
Schibsted Growth;Monsieur Drive;
SEB Alliance;Alkemics;
SEB Alliance;Feeligreen;
SEB Alliance;Kolibree;Hardware
SEB Alliance;SeniorAdom;
Via Id;Drivy;Platform
Via Id;Heetch;Platform
Via Id;Xee;
Via Id;WayzUp;
Alliance Entreprendre;Roomlala.com;
Alliance Entreprendre;Magency Digital;
Alliance Entreprendre;Makever;
A Plus Finance;Weezevent;Entertainment
A Plus Finance;Geolid;
A Plus Finance;Cheerz;
Alto invest;Talentsoft;
Alto invest;Easyvista;
Alto invest;Digischool;
Amundi;LaunchMetrics;
Amundi;Sequans Communications;
Amundi;Ekinops;
Ardian Growth;Tabmo;
Ardian Growth;Bricopriv̩.com;
Ardian Growth;Ariane;
BlackFin Capital Partners;Comparadise;
BlackFin Capital Partners;Santiane;
BlackFin Capital Partners;Fundrock;
Citizen Capital;Ulule;Fintech
Citizen Capital;Business Table;
Citizen Capital;Trace.tv;
CIC Capital Priv̩;Mister Auto;
CIC Capital Priv̩;Captain Train;
CIC Capital Priv̩;Deezer;Entertainment
CIC Capital Priv̩;Chauffeur Priv̩;Platform
Entrepreneur Venture;Synthesio;
Entrepreneur Venture;Edjing;
Entrepreneur Venture;Brainwave;
Eurazeo;Younited Credit;
Eurazeo;Vestiaire Collective;Ecommerce
Eurazeo;PeopleDoc;
Eurazeo;Farfetch;
Generis Capital Partners;Vide Dressing;
Generis Capital Partners;Mazeberry;
Generis Capital Partners;Tabmo;
Generis Capital Partners;Envie de Fraises;
GIMV;Teads;Adtech
GIMV;MarcoVasco;
GIMV;Macke Vision;
Naxicap;Adents;
Naxicap;Streamdata.io;
Naxicap;Miliboo;Ecommerce
Nextstage;Coorpacademy;
Nextstage;1000mercis;Fintech
Nextstage;Wedia;
Siparex (Proximit̩ Innovation);ConnecThings;
Siparex (Proximit̩ Innovation);Ekinops;
Time for Growth;Geolid;
Time for Growth;Usine.io;Hardware
Time for Growth;Oodrive;